"","bin","completeness","contamination","GC","lineage","N50","size","binner","score","classification","fastani_reference","fastani_reference_radius","fastani_taxonomy","fastani_ani","fastani_af","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references.genome_id.species_name.radius.ANI.AF.","msa_percent","translation_table","red_value","warnings","Domain","Phylum","Class","Order","Family","Genus","Species","bestClassification","bestClassificationRank","sample","Name","Type","Location","Niche","LocaNiche","location.and.niche","Micro.niche","count16S","status16S","classification16S","classification16S.DB","classification16S.rank1","classification16S.rank2","classification16S.rank3","classification16S.rank4","classification16S.rank5","classification16S.rank6","classification16S.rank7","classification16S.rank8","LR_sed_top_R1.fastq.Relative.Abundance....","LR_sed_top_R1.fastq.Mean","LR_sed_top_R1.fastq.Variance","LR_sed_top_R1.fastq.RPKM","LR_sed_top_R1.fastq.TPM","LR_sed_bottom_R1.fastq.Relative.Abundance....","LR_sed_bottom_R1.fastq.Mean","LR_sed_bottom_R1.fastq.Variance","LR_sed_bottom_R1.fastq.RPKM","LR_sed_bottom_R1.fastq.TPM","AB2_sed_top_R1.fastq.Relative.Abundance....","AB2_sed_top_R1.fastq.Mean","AB2_sed_top_R1.fastq.Variance","AB2_sed_top_R1.fastq.RPKM","AB2_sed_top_R1.fastq.TPM","AB2_sed_bottom_R1.fastq.Relative.Abundance....","AB2_sed_bottom_R1.fastq.Mean","AB2_sed_bottom_R1.fastq.Variance","AB2_sed_bottom_R1.fastq.RPKM","AB2_sed_bottom_R1.fastq.TPM","AB2_mat_1_R1.fastq.Relative.Abundance....","AB2_mat_1_R1.fastq.Mean","AB2_mat_1_R1.fastq.Variance","AB2_mat_1_R1.fastq.RPKM","AB2_mat_1_R1.fastq.TPM","AB2_mat_2_R1.fastq.Relative.Abundance....","AB2_mat_2_R1.fastq.Mean","AB2_mat_2_R1.fastq.Variance","AB2_mat_2_R1.fastq.RPKM","AB2_mat_2_R1.fastq.TPM","AB2_wall_1_R1.fastq.Relative.Abundance....","AB2_wall_1_R1.fastq.Mean","AB2_wall_1_R1.fastq.Variance","AB2_wall_1_R1.fastq.RPKM","AB2_wall_1_R1.fastq.TPM","AB2_wall_2_R1.fastq.Relative.Abundance....","AB2_wall_2_R1.fastq.Mean","AB2_wall_2_R1.fastq.Variance","AB2_wall_2_R1.fastq.RPKM","AB2_wall_2_R1.fastq.TPM","AB2_WF_1_R1.fastq.Relative.Abundance....","AB2_WF_1_R1.fastq.Mean","AB2_WF_1_R1.fastq.Variance","AB2_WF_1_R1.fastq.RPKM","AB2_WF_1_R1.fastq.TPM","LR_WF_2_R1.fastq.Relative.Abundance....","LR_WF_2_R1.fastq.Mean","LR_WF_2_R1.fastq.Variance","LR_WF_2_R1.fastq.RPKM","LR_WF_2_R1.fastq.TPM"
"AB2_mat_c_bin.86","AB2_mat_c_bin.86",94.31,1.136,0.683,"Bacteria",52737,2930684,"binsABC",44.1526217228464,"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__;s__","taxonomic classification fully defined by topology","classification based on placement in class-level tree","N/A",86.51,11,"0.82411","N/A","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","UBA1924","","","UBA1924","Family","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22179914,12.769253,33.55744,1.1050378,3606.945,0.21303163,12.302356,29.032995,1.0117449,3320.8252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.87","AB2_mat_c_bin.87",95.92,1.739,0.657,"Alphaproteobacteria",54972,3027890,"binsBC",35.0200803212851,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__JACADY01;s__","N/A","N/A","N/A","N/A","N/A","GCA_016124385.1","95.0","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__JACADY01;s__JACADY01 sp016124385","78.48","0.436","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__JACADY01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_013389115.1, s__JACADY01 sp013389115, 95.0, 77.71, 0.312",93.76,11,"0.87135","N/A","Bacteria","Pseudomonadota","Alphaproteobacteria","Micropepsales","Micropepsaceae","JACADY01","","JACADY01","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13996682,8.058064,30.448107,0.6922812,2259.6692,0.20653255,11.92704,34.8427,0.9762142,3204.2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.88","AB2_mat_c_bin.88",92.58,1.318,0.571,"Alphaproteobacteria",28383,2464500,"binsA",39.939603106126,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__JAGNKE01;s__","N/A","N/A","N/A","N/A","N/A","GCA_023384135.1","95.0","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__JAGNKE01;s__JAGNKE01 sp023384135","90.63","0.881","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__JAGNKE01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016699735.1, s__JAGNKE01 sp016699735, 95.0, 79.26, 0.541; GCA_018000295.1, s__JAGNKE01 sp018000295, 95.0, 79.19, 0.497; GCA_020638365.1, s__JAGNKE01 sp020638365, 95.0, 79.13, 0.463; GCA_020443295.1, s__JAGNKE01 sp020443295, 95.0, 78.74, 0.407",87.53,11,"0.98445","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","Bacteria","Pseudomonadota","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","JAGNKE01","","JAGNKE01","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18467157,10.631772,25.399124,0.9144726,2984.923,0.12768836,7.37387,17.208858,0.6046502,1984.6289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.89","AB2_mat_c_bin.89",93.54,1.173,0.68,"Bacteria",8207,4430440,"binsA",43.046479521399,"d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__CAITNO01;g__JAAYBR01;s__","N/A","N/A","N/A","N/A","N/A","GCA_012730045.1","95.0","d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__CAITNO01;g__JAAYBR01;s__JAAYBR01 sp012730045","91.6","0.827","d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__CAITNO01;g__JAAYBR01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",81.83,11,"0.98815","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","Bacteria","Hydrogenedentota","Hydrogenedentia","Hydrogenedentiales","CAITNO01","JAAYBR01","","JAAYBR01","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",1,"one Sequence","unclassified",NA,"unclassified","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13422534,7.727521,17.064976,0.65579396,2140.573,0.08957151,5.172662,10.235923,0.4187988,1374.6132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.9","AB2_mat_c_bin.9",97.26,1.086,0.688,"Alphaproteobacteria",172404,3192992,"binsABC",46.6251198465964,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__JADZAI01;s__JADZAI01 sp016792565","GCA_016792565.1","95.0","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__JADZAI01;s__JADZAI01 sp016792565","98.94","0.904","GCA_016792565.1","95.0","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__JADZAI01;s__JADZAI01 sp016792565","98.94","0.904","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__JADZAI01;s__","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCA_019670725.1, s__JADZAI01 sp019670725, 95.0, 82.21, 0.761; GCA_020852655.1, s__JADZAI01 sp020852655, 95.0, 80.83, 0.581",76.9,11,"N/A","N/A","Bacteria","Pseudomonadota","Alphaproteobacteria","Micropepsales","Micropepsaceae","JADZAI01","JADZAI01 sp016792565","JADZAI01 sp016792565","Species","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24746707,14.246988,33.4686,1.2219691,3988.6194,0.50899327,29.393831,75.5825,2.4087913,7906.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.90","AB2_mat_c_bin.90",86.78,2.222,0.551,"Bacteria",17369,6109183,"binsBC",26.9335816263191,"d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__F1-80-MAGs062;s__","N/A","N/A","N/A","N/A","N/A","GCA_022843805.1","95.0","d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__F1-80-MAGs062;s__F1-80-MAGs062 sp022843805","76.45","0.087","d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__F1-80-MAGs062;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016795105.1, s__F1-80-MAGs062 sp016795105, 95.0, 77.11, 0.062; GCA_020426345.1, s__F1-80-MAGs062 sp020426345, 95.0, 75.91, 0.036; GCA_005809115.1, s__F1-80-MAGs062 sp005809115, 95.0, 75.66, 0.053",66.65,11,"0.90335","N/A","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","F1-80-MAGs062","","F1-80-MAGs062","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849953,4.8932858,10.903096,0.41882896,1367.0966,0.12691036,7.3289404,15.973119,0.59775114,1961.9843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.91","AB2_mat_c_bin.91",92.06,0.575,0.636,"Rhodobacteraceae",33093,2970733,"binsB",58.4507936507937,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Fuscovulum;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Fuscovulum;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",76.5,11,"0.97336","N/A","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Fuscovulum","","Fuscovulum","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041863456,1.5213395,3.3569822,3.619939,9319.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32938945,18.963364,106.68025,1.6442634,5367.0283,0.39956394,23.074402,165.71397,1.9047815,6252.0176,0,0,0,0,0,0,0,0,0,0,0.00080125744,0.15599406,0.29733115,0.014314013,19.046803,0,0,0,0,0
"AB2_mat_c_bin.92","AB2_mat_c_bin.92",76.18,1.935,0.411,"Proteobacteria",2450,1715814,"binsBC",25.9557069846678,"d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__JAABSR01;g__;s__","N/A","N/A","N/A","N/A","N/A","GCA_011390245.1","95.0","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__JAABSR01;g__JAABSR01;s__JAABSR01 sp011390245","76.31","0.048","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__JAABSR01;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",68.76,11,"0.73978","N/A","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","JAABSR01","","","JAABSR01","Family","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07247263,4.17234,8.125874,0.34837532,1137.1294,0.058411386,3.3731968,6.076925,0.26757076,878.24097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.94","AB2_mat_c_bin.94",96.36,1.745,0.483,"Betaproteobacteria",25181,2738730,"binsABC",35.103825136612,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__JABFRO01;s__","N/A","N/A","N/A","N/A","N/A","GCA_013141125.1","95.0","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__JABFRO01;s__JABFRO01 sp013141125","78.31","0.376","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__JABFRO01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",96.03,11,"0.9303","N/A","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Methylophilaceae","JABFRO01","","JABFRO01","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29050094,16.7245,89.439445,1.4790071,4827.615,0.29639205,17.116333,91.72474,1.4291004,4690.7017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.97","AB2_mat_c_bin.97",80.32,12.04,0.589,"Burkholderiales",2251,3815264,"binsC",6.15950920245399,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rhodoferax;s__Rhodoferax sp018061265","GCA_018061265.1","95.0","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rhodoferax;s__Rhodoferax sp018061265","95.99","0.836","GCA_018061265.1","95.0","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rhodoferax;s__Rhodoferax sp018061265","95.99","0.836","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rhodoferax;s__","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCA_018063565.1, s__Rhodoferax sp018063565, 95.0, 81.72, 0.669; GCA_016719055.1, s__Rhodoferax sp016719055, 95.0, 79.06, 0.424; GCF_020594515.1, s__Rhodoferax sp020594515, 95.0, 78.17, 0.402; GCA_020048795.1, s__Rhodoferax sp020048795, 95.0, 77.97, 0.251; GCF_002017865.1, s__Rhodoferax fermentans, 95.0, 77.96, 0.337; GCA_903873485.1, s__Rhodoferax sp903873485, 95.0, 77.93, 0.344; GCA_002083775.1, s__Rhodoferax ferrireducens_A, 95.0, 77.89, 0.359; GCF_018619435.1, s__Rhodoferax sp018619435, 95.0, 77.86, 0.334; GCF_013416775.1, s__Rhodoferax sp013416775, 95.0, 77.83, 0.35; GCA_903905735.1, s__Rhodoferax sp903905735, 95.0, 77.8, 0.331; GCA_020048295.1, s__Rhodoferax sp020048295, 95.0, 77.79, 0.269; GCA_021737975.1, s__Rhodoferax sp021737975, 95.0, 77.79, 0.192; GCA_002784245.1, s__Rhodoferax sp002784245, 95.0, 77.65, 0.183; GCF_001938565.1, s__Rhodoferax antarcticus, 95.0, 77.62, 0.276; GCA_023701345.1, s__Rhodoferax sp023701345, 95.0, 77.6, 0.226; GCA_008080595.1, s__Rhodoferax sp008080595, 95.0, 77.6, 0.307; GCA_002786915.1, s__Rhodoferax sp002786915, 95.0, 77.57, 0.269; GCA_011391645.1, s__Rhodoferax sp011391645, 95.0, 77.57, 0.217; GCA_002842265.1, s__Rhodoferax sp002842265, 95.0, 77.5, 0.251; GCA_023231075.1, s__Rhodoferax sp023231075, 95.0, 77.49, 0.207; GCA_011391545.1, s__Rhodoferax sp011391545, 95.0, 77.44, 0.223; GCA_014859475.1, s__Rhodoferax sp014859475, 95.0, 77.4, 0.198; GCA_001771065.1, s__Rhodoferax sp001771065, 95.0, 77.37, 0.241; GCA_021731215.1, s__Rhodoferax sp021731215, 95.0, 77.37, 0.142; GCA_002381045.1, s__Rhodoferax sp002381045, 95.0, 77.37, 0.226; GCA_903886165.1, s__Rhodoferax sp903886165, 95.0, 77.36, 0.176; GCA_023700745.1, s__Rhodoferax sp023700745, 95.0, 77.36, 0.238; GCF_019973615.1, s__Rhodoferax sp019973615, 95.0, 77.34, 0.282; GCA_020048255.1, s__Rhodoferax sp020048255, 95.0, 77.33, 0.195; GCA_017997975.1, s__Rhodoferax sp017997975, 95.0, 77.13, 0.108; GCA_016718405.1, s__Rhodoferax sp016718405, 95.0, 77.11, 0.146; GCA_001871515.1, s__Rhodoferax sp001871515, 95.0, 77.11, 0.204; GCA_002789915.1, s__Rhodoferax sp002789915, 95.0, 77.03, 0.201; GCA_945885775.1, s__Rhodoferax sp945885775, 95.0, 76.98, 0.115; GCA_903920405.1, s__Rhodoferax sp903920405, 95.0, 76.97, 0.046; GCA_002422455.1, s__Rhodoferax sp002422455, 95.0, 76.95, 0.108; GCA_903948045.1, s__Rhodoferax sp903948045, 95.0, 76.9, 0.133; GCA_002413825.1, s__Rhodoferax sp002413825, 95.0, 76.89, 0.155; GCA_903856025.1, s__Rhodoferax sp903856025, 95.0, 76.87, 0.136; GCA_010365055.1, s__Rhodoferax sp010365055, 95.0, 76.86, 0.161; GCA_903927495.1, s__Rhodoferax sp903927495, 95.0, 76.84, 0.096; GCA_945861195.1, s__Rhodoferax sp945861195, 95.0, 76.82, 0.068; GCA_013791765.1, s__Rhodoferax sp013791765, 95.0, 76.77, 0.164; GCA_903894475.1, s__Rhodoferax sp903894475, 95.0, 76.76, 0.142; GCA_016718155.1, s__Rhodoferax sp016718155, 95.0, 76.75, 0.167; GCF_017948265.1, s__Rhodoferax sp017948265, 95.0, 76.74, 0.13; GCA_007280205.1, s__Rhodoferax sp007280205, 95.0, 76.72, 0.124; GCF_000013605.1, s__Rhodoferax ferrireducens, 95.0, 76.72, 0.198; GCF_003347515.1, s__Rhodoferax sp003347515, 95.0, 76.69, 0.238; GCA_903875275.1, s__Rhodoferax sp903875275, 95.0, 76.67, 0.074; GCA_903960915.1, s__Rhodoferax sp903960915, 95.0, 76.62, 0.161; GCA_009922295.1, s__Rhodoferax sp009922295, 95.0, 76.54, 0.105; GCA_903920695.1, s__Rhodoferax sp903920695, 95.0, 76.52, 0.115; GCA_018780565.1, s__Rhodoferax sp018780565, 95.0, 76.52, 0.136; GCA_003133245.1, s__Rhodoferax sp003133245, 95.0, 76.5, 0.108; GCA_903930255.1, s__Rhodoferax sp903930255, 95.0, 76.5, 0.192; GCA_014190675.1, s__Rhodoferax sp014190675, 95.0, 76.49, 0.108; GCA_903914175.1, s__Rhodoferax sp903914175, 95.0, 76.49, 0.111; GCA_012927445.1, s__Rhodoferax sp012927445, 95.0, 76.47, 0.167; GCA_903906695.1, s__Rhodoferax sp903906695, 95.0, 76.45, 0.111; GCA_903839085.1, s__Rhodoferax sp903839085, 95.0, 76.41, 0.152; GCA_903828665.1, s__Rhodoferax sp903828665, 95.0, 76.4, 0.115; GCA_903938955.1, s__Rhodoferax sp903938955, 95.0, 76.39, 0.13; GCA_903876735.1, s__Rhodoferax sp903876735, 95.0, 76.23, 0.136; GCA_009693325.1, s__Rhodoferax sp009693325, 95.0, 76.21, 0.099; GCA_903897005.1, s__Rhodoferax sp903897005, 95.0, 76.16, 0.118; GCA_903927295.1, s__Rhodoferax sp903927295, 95.0, 76.13, 0.099; GCA_016708345.1, s__Rhodoferax sp016708345, 95.0, 76.11, 0.158; GCA_017880985.1, s__Rhodoferax sp017880985, 95.0, 76.1, 0.09; GCA_903840825.1, s__Rhodoferax sp903840825, 95.0, 76.09, 0.059; GCA_903925725.1, s__Rhodoferax sp903925725, 95.0, 76.06, 0.074; GCA_903823025.1, s__Rhodoferax sp903823025, 95.0, 76.02, 0.084; GCA_018882485.1, s__Rhodoferax sp018882485, 95.0, 76.01, 0.071; GCA_021812315.1, s__Rhodoferax sp021812315, 95.0, 75.9, 0.084; GCA_903929815.1, s__Rhodoferax sp903929815, 95.0, 75.85, 0.068; GCA_903822205.1, s__Rhodoferax sp903822205, 95.0, 75.84, 0.077; GCA_903896425.1, s__Rhodoferax sp903896425, 95.0, 75.69, 0.108",48.6,11,"N/A","N/A","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae_B","Rhodoferax","Rhodoferax sp018061265","Rhodoferax sp018061265","Species","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07613955,4.3834486,11.008099,0.36153838,1180.0945,0.0784743,4.531809,10.547979,0.3557561,1167.6892,0,0,0,0,0,0,0,0,0,0,0.010517854,2.0476847,70.77624,0.18432124,245.26546,0.0066813347,1.0608637,33.40091,0.15890329,203.03572
"AB2_sed_c_bin.1","AB2_sed_c_bin.1",96.63,2.197,0.544,"Bacteria",15198,3659448,"binsA",30.2252111354395,"d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__Chitinivibrionales;f__Chitinispirillaceae;g__;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__Chitinivibrionales;f__Chitinispirillaceae;g__;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",92.65,11,"0.854","N/A","Bacteria","Fibrobacterota","Chitinivibrionia","Chitinivibrionales","Chitinispirillaceae","","","Chitinispirillaceae","Family","AB2_sed_c","AB2_sed_c","air bell 2 Sediment Top","air bell 2","Sediment","air bell 2 Sediment","air bell 2 sediment","Sediment",1,"one Sequence","unclassified",NA,"unclassified","","","","","","","",0.010217438,0.371307,27.10405,0.94948673,2444.3801,0.11207909,6.0394974,24.825335,7.9722466,21031.176,0.12461134,7.0362854,27.599216,6.989622,19280.656,0.18737583,9.719121,27.75425,13.416764,35503.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_sed_c_bin.10","AB2_sed_c_bin.10",84.95,4.207,0.519,"Archaea",6960,1092414,"binsAC",16.3145765315921,"d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__20-14-0-80-47-9;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__","taxonomic novelty determined using RED","N/A","N/A",63.73,11,"0.87139","N/A","Archaea","Thermoproteota","Bathyarchaeia","B26-1","UBA233","20-14-0-80-47-9","","20-14-0-80-47-9","Genus","AB2_sed_c","AB2_sed_c","air bell 2 Sediment Top","air bell 2","Sediment","air bell 2 Sediment","air bell 2 sediment","Sediment",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.008066817,0.43468872,1.546843,0.5829004,1537.7197,0.109443136,6.179799,14.537535,6.078301,16766.799,0.1581774,8.204608,18.802431,11.32327,29963.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_sed_c_bin.11","AB2_sed_c_bin.11",78.78,4.355,0.581,"Bacteria",5762,3290709,"binsAC",14.7114845938375,"d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__JAABUE01;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__JAABUE01;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",76.11,11,"0.9188","N/A","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","EnvOPS12","JAABUE01","","JAABUE01","Genus","AB2_sed_c","AB2_sed_c","air bell 2 Sediment Top","air bell 2","Sediment","air bell 2 Sediment","air bell 2 sediment","Sediment",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06465343,2.3495388,7.3899755,5.5972137,14409.588,0.09238992,4.978526,13.790331,6.617802,17458.088,0.25760454,14.545859,44.475605,14.519174,40050.688,0.055967692,2.9030254,6.6056614,4.0008035,10586.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030666448,0.5970345,1.079301,0.053811856,71.60423,0.0021474976,0.34098008,0.58541703,0.050928053,65.07235
